30.5;30.25;29.75;30;30.5;29.75;30;30.75
30;29.75;29.25;30;30.5;30;30.5;33
29.75;30.25;29.75;30.5;30.25;30.75;32.75;34.5
30;29.75;29.75;30.25;30.25;32.25;34.5;34.25
30.5;29.75;29.75;30;31.25;33.75;34.5;35
30.5;31;32.25;31.25;34.5;35;34.25;35.25
31.25;33;33.75;34.25;34.5;35;34.75;34.75
34;33.5;34.75;34.5;34.25;34.75;35.25;35
